Track Name,Tempo Mean,Chroma Mean,Chroma Std,RMS Mean,RMS Std,Mel Spectrogram Mean,Mel Spectrogram Std,Zero Crossing Rate Mean,Zero Crossing Rate Std,Spectral Centroid Mean,Spectral Centroid Std,Spectral Bandwidth Mean,Spectral Bandwidth Std,Spectral Contrast Mean,Spectral Contrast Std,Spectral Flatness Mean,Spectral Flatness Std,Spectral Rolloff Mean,Spectral Rolloff Std,Genre
Aşklarım Büyük Benden-Murat Boz,184.5703125,0.30321458,0.29417148,0.31179023,0.05530231,21.955261,107.65073,0.10539627075195312,0.05779759852424147,2384.979365405407,701.1989557225324,2494.987593285203,351.1662466884447,21.868437383674117,11.644140477870097,0.02395845,0.028876048,5135.046501159668,1363.5152672110894,Pop
Vazgeçmem-Murat Boz,129.19921875,0.47258097,0.26701766,0.34579474,0.070206314,26.967249,197.66922,0.12468032836914063,0.07446051093113672,2993.5979536379105,799.8059119229229,2863.90509411749,277.5267210029919,21.38292654192688,12.049968368979668,0.050925143,0.05246187,6500.217933654785,1238.4658599086172,Pop
Gece-Murat Boz,103.359375,0.3734247,0.30124947,0.19724417,0.07659327,9.895218,94.99973,0.108282470703125,0.06086363809318272,2620.6379224417933,925.6416175568603,2657.003913956265,441.88111192059296,22.450444969410064,11.257835884808058,0.032368492,0.04326426,5645.189952850342,1754.5940287938306,Pop
Gün Ağardı-Murat Boz,135.99917763157896,0.36966422,0.30297443,0.21302637,0.064447284,10.619997,82.71512,0.11736640930175782,0.05399869848093503,2521.356016929025,638.6081906548029,2617.9494796674767,331.3862070300372,22.34794574316583,12.258660710297564,0.023311254,0.026635375,5464.798908233643,1348.2481176648635,Pop
Kalamam Arkadaş-Murat Boz,143.5546875,0.3858987,0.291627,0.25058395,0.0672746,14.723013,117.76296,0.11156539916992188,0.07286133706593584,2625.0454907563994,898.8372426811321,2721.741667796129,426.02322817808243,22.674766240032728,10.636681161710149,0.023220541,0.027398294,5771.512470245361,1645.9074271103455,Pop
Aşkı Bulamam Ben-Murat Boz,103.359375,0.49398378,0.29175127,0.2887683,0.08598795,19.823854,147.75504,0.11285629272460937,0.08195759835579856,2887.473784138833,860.7459720375983,3023.9594290363107,281.20896867527136,21.083667053575574,12.091520873011364,0.029380713,0.03641343,6690.425090789795,1313.9869910484842,Pop
Sallana Sallana-Murat Boz,89.10290948275862,0.47612697,0.2825316,0.2593633,0.08020339,14.997314,99.57854,0.1845996856689453,0.10958644691031307,3590.5180159089914,891.7701111324378,3029.9763792758667,218.4637250121665,20.81046964956784,10.958158425649243,0.077482104,0.06549598,7382.709159851074,942.0800578491571,Pop
Yana Döne-Murat Boz,129.19921875,0.46136993,0.28138283,0.29548874,0.06099824,19.584038,128.37114,0.13729324340820312,0.08008530991220048,3240.3528813132684,948.1481468635359,2956.7699310295347,310.64886182373135,21.55162670080232,11.761028640759232,0.045517884,0.04344355,6876.678886413574,1352.793280297817,Pop
Can Kenarım-Murat Boz,151.99908088235293,0.35740048,0.3007913,0.32328385,0.07764814,24.800226,165.70317,0.09044227600097657,0.0544052739197187,2337.3550514895655,742.1218329368951,2614.490397024607,343.41408609547807,23.388613655862958,11.956712592032746,0.01786546,0.031597238,5430.741119384766,1551.20774000522,Pop
Püf - 2-Murat Boz,99.38401442307692,0.4094857,0.30293193,0.21378465,0.07317367,10.672538,56.788628,0.1410808563232422,0.10330682727399251,2980.5783771856613,1101.7232740933835,2857.7344304115354,407.6570010783294,21.194881467976153,11.473751976514055,0.043493416,0.04805656,6352.951011657715,1674.233676891183,Pop
Uçurum-Murat Boz,129.19921875,0.47258332,0.27941823,0.33700976,0.114908665,27.052206,223.8992,0.15035934448242189,0.09263233974207279,3078.191785653911,824.6196540666214,2812.1551775656358,228.01851874487377,21.209484754156094,11.366778985898732,0.06374074,0.06518121,6502.884349822998,1179.7756816934238,Pop
Olmuyor-Oğuz Berkay Fidan,89.10290948275862,0.42578077,0.29265398,0.2792179,0.103087075,19.29677,158.24515,0.1376628875732422,0.06933067913729965,2870.729388646192,700.0556405001249,2794.0066143849663,303.60859960428513,22.68928714485554,11.093953939129298,0.035246745,0.038079474,6143.1536865234375,1203.2260121813522,Pop
Geç Olmadan-Murat Boz,129.19921875,0.38722482,0.29223436,0.26576906,0.041026473,15.311773,83.955795,0.12587814331054686,0.06354122096109201,2956.7987942591885,829.0298381771022,2819.7835197262116,281.4092489459828,22.673663658225536,11.139233175016535,0.034721814,0.03356415,6398.515605926514,1194.6356334912775,Pop
Bulmaca-Murat Boz,117.45383522727273,0.3555601,0.30150467,0.31259012,0.06748256,21.626965,112.16855,0.12850799560546874,0.06690625343850028,2811.5556272551717,794.1452710144488,2745.686951086976,313.7385109472155,21.957541548085874,11.524897267528287,0.032776546,0.03635442,6116.338119506836,1310.2167430783709,Pop
Sevgilim-Murat Boz,103.359375,0.4234889,0.27859917,0.3093412,0.039771263,21.622456,123.276115,0.08292007446289062,0.038554717027839844,2225.5013324090914,663.4962170788308,2408.763286283306,293.9193556783298,23.433236463185935,12.784537428974723,0.01385417,0.019578481,4795.747146606445,1292.1532344491923,Pop
Kalben-Murat Boz,92.28515625,0.464033,0.280509,0.2107741,0.09550268,12.297977,114.70564,0.08240585327148438,0.05789790646625656,2299.3913958920516,844.9097191162134,2601.3010773826763,409.95475502652994,22.248858719687483,11.810948501073783,0.018190997,0.025535816,5222.306442260742,1684.0713289766618,Pop
Ben Bir Hayaletim Artık-Murat Boz,83.35433467741936,0.35321626,0.28930858,0.25798243,0.06121994,15.049319,75.9723,0.10534248352050782,0.035354472418538854,2377.5309253102846,411.53188299716095,2473.545210948653,229.74864560866996,23.098555861388636,12.03449190947655,0.015659556,0.016378896,5154.031047821045,803.9956766590908,Pop
Hayat Öpücüğü-Murat Boz,129.19921875,0.36323193,0.29191872,0.2690907,0.075740166,17.438637,88.694336,0.08666725158691406,0.05072564227855407,2148.2895140503674,897.0034114649835,2341.273150697654,645.6895054929347,21.871049805664384,12.300043476888675,0.021619864,0.030262757,4692.724227905273,2005.799754373078,Pop
Aşk Bu-Murat Boz,95.703125,0.4239658,0.30105317,0.26902837,0.091885045,18.241962,155.95354,0.08951301574707031,0.06624579924489904,2450.8692033708876,863.3980207560737,2646.187635182626,356.5460075450339,22.19750299089041,12.093841378827793,0.023059184,0.03301918,5506.595191955566,1603.0477781601562,Pop
