Track Name,Tempo Mean,Chroma Mean,Chroma Std,RMS Mean,RMS Std,Mel Spectrogram Mean,Mel Spectrogram Std,Zero Crossing Rate Mean,Zero Crossing Rate Std,Spectral Centroid Mean,Spectral Centroid Std,Spectral Bandwidth Mean,Spectral Bandwidth Std,Spectral Contrast Mean,Spectral Contrast Std,Spectral Flatness Mean,Spectral Flatness Std,Spectral Rolloff Mean,Spectral Rolloff Std,Genre
Olur Mu Böyle Olur Mu-Ferdi Tayfur,107.666015625,0.33718455,0.29700148,0.19051835,0.06588249,8.291746,42.712685,0.11554450988769531,0.03813849666080877,1959.2402748052104,473.4294475123732,1868.3994287228954,346.8478252236397,23.705625849043336,12.204132057844399,0.010289323,0.0193981,3581.510009765625,1057.258173989353,Arabesk
Alıştım - 2022 Remastered Version-Ferdi Tayfur,123.046875,0.26956448,0.29539588,0.19892712,0.048832215,8.823301,52.949154,0.11034622192382812,0.02513254704154007,1948.3491836172216,326.45419522806515,1800.0346707674594,327.1583663374456,25.489421971867174,11.916586011162932,0.0039759427,0.0055715735,3763.2552909851074,743.2413197441665,Arabesk
Bir Avuç Gözyaşı-Ferdi Tayfur,172.265625,0.28892332,0.2977652,0.104264125,0.040461298,2.6866093,16.52391,0.10330390930175781,0.04658008298552123,2047.6493813738987,592.8720052855865,2113.8672272307213,348.19672843406806,23.045466878558823,11.395792531002817,0.014630079,0.03058599,3932.2068214416504,1229.3308931592842,Arabesk
Yüreğimde Yara Var-Ferdi Tayfur,107.666015625,0.30361736,0.30613944,0.28561664,0.095963456,18.38673,113.05935,0.11998558044433594,0.08025922302719964,2258.2770285347033,789.2929979638014,2123.8537458100614,328.13853402084686,23.845573745809048,11.173230169337405,0.01412263,0.028273864,4131.969337463379,1334.683829799727,Arabesk
Batan Güneş-Ferdi Tayfur,103.359375,0.3820484,0.2927949,0.15902779,0.07664043,6.2382345,41.755054,0.1441272735595703,0.08029895762336063,2453.2498637809376,844.8706969133212,2263.556298133207,397.82379287758636,23.205279286152496,12.15282022434158,0.021850536,0.03202313,4775.929870605469,1554.3452573028196,Arabesk
Çeşme - 2022 Remastered Version-Ferdi Tayfur,123.046875,0.29596087,0.29575115,0.2354308,0.06260427,11.965288,66.2305,0.11615066528320313,0.03754510178169644,1865.892445047136,401.79894010334084,1697.0659269608182,247.58301514903496,25.317402602869613,13.791768694287498,0.0030035586,0.004599001,3421.432514190674,754.2594542879033,Arabesk
Sevdiğim Biri Var - Diyemedin mi?-Ferdi Tayfur,135.99917763157896,0.30673206,0.30089048,0.23334837,0.0653951,12.151348,67.4453,0.11807403564453126,0.061666577185044875,2431.771389085297,648.9094229072397,2479.1344119893224,272.0910653534143,24.785555328031275,11.405140945374761,0.013390961,0.019168438,5250.812702178955,1081.5176188769497,Arabesk
Kurtuldum-Ferdi Tayfur,117.45383522727273,0.30281577,0.29415813,0.1989474,0.050628297,8.823856,45.59969,0.10965843200683593,0.039857395751873595,2121.7846258379386,444.0676926851353,2075.9193171301813,269.56918078145594,24.39298619141091,12.498909657147061,0.011334278,0.01892892,4080.5335807800293,878.0490431622468,Arabesk
Dönebilsem-Ferdi Tayfur,89.10290948275862,0.34987977,0.2855285,0.20438614,0.053812873,9.4681,49.01795,0.10478553771972657,0.04260460922156136,2304.937476271174,515.4811829412223,2495.6197124307896,238.94655526140176,23.8550664426931,11.903175073357831,0.011689414,0.011719301,5122.412567138672,992.6169081992122,Arabesk
Durdurun Dünyayı - 2022 Remastered Version-Ferdi Tayfur,129.19921875,0.3100404,0.30356598,0.24034512,0.055914633,12.631758,65.886566,0.11838760375976562,0.04122774071271034,2446.145191742952,519.6114510827767,2509.6249211524737,281.09439356900464,23.768609412958067,11.856903882626039,0.016542355,0.015157677,5294.249210357666,1242.3144979849606,Arabesk
