Track Name,Tempo Mean,Chroma Mean,Chroma Std,RMS Mean,RMS Std,Mel Spectrogram Mean,Mel Spectrogram Std,Zero Crossing Rate Mean,Zero Crossing Rate Std,Spectral Centroid Mean,Spectral Centroid Std,Spectral Bandwidth Mean,Spectral Bandwidth Std,Spectral Contrast Mean,Spectral Contrast Std,Spectral Flatness Mean,Spectral Flatness Std,Spectral Rolloff Mean,Spectral Rolloff Std,Genre
Sarhoş-Aşık Mahzuni Şerif,86.1328125,0.3571166,0.3045258,0.12674174,0.04371575,3.9002151,26.85816,0.1073944091796875,0.04039615389891569,2179.7901497626817,462.56813226811147,2208.6699117020075,281.34019382812545,24.121192112170156,13.354051816547331,0.0075363116,0.009847161,4632.187328338623,833.7228644429425,Türkü
Merdo-Aşık Mahzuni Şerif,112.34714673913044,0.3071826,0.2980092,0.15494001,0.07007245,6.6140366,55.468884,0.07176933288574219,0.035360007187572894,1706.6101815515606,523.9225616547427,2089.821532559624,365.6877549418072,23.626774657817634,11.34339576587149,0.0057732845,0.011678361,3659.9716186523438,1244.964724365445,Türkü
İşte Gidiyorum Çeşmi Siyahım-Aşık Mahzuni Şerif,123.046875,0.2425931,0.29648986,0.19423229,0.055045944,9.401258,57.137012,0.05923042297363281,0.014795825669212165,1144.0126244637383,184.763797466642,1324.0199756995005,124.71966610419096,24.62857191646682,10.19051529704558,0.0005159473,0.00033104062,1960.00093460083,490.54861866975745,Türkü
Mevlam İki Göz Vermiş-Aşık Mahzuni Şerif,117.45383522727273,0.26518008,0.30055627,0.083336525,0.050941437,2.0009441,19.49753,0.1136077880859375,0.054190570639662275,2122.420921194143,647.3953844399009,1917.8441266210139,388.3781302736762,27.61193389323975,14.127911878103845,0.004475787,0.0103719095,4128.175792694092,1213.7596938816846,Türkü
Zalımın Zülmü Varsa-Aşık Mahzuni Şerif,112.34714673913044,0.29692376,0.30243087,0.15048924,0.0611749,6.0680704,48.04619,0.07950897216796875,0.029488290717196313,1919.9869708048038,392.28468473417735,2356.176133010017,280.3964138170579,24.344308741728383,11.501182889992695,0.0061522434,0.0075492146,4209.169235229492,972.6275235599461,Türkü
Halim Yaman Böyle-Aşık Mahzuni Şerif,86.1328125,0.29218656,0.28873837,0.15636587,0.050478518,5.8326073,41.06887,0.10612297058105469,0.03711941023201231,2119.1390054249564,340.5051252133856,2321.9578079643024,231.32227071073564,24.775403489823297,12.332981746024176,0.0074429163,0.0082720285,4568.655967712402,679.7368273031357,Türkü
Boşu Boşuna-Aşık Mahzuni Şerif,117.45383522727273,0.30331904,0.29197928,0.09256174,0.04490624,2.1448405,17.879097,0.14980583190917968,0.04800346746128677,2903.7050056456783,566.4706993668938,2678.1607432533797,242.90384993697438,25.71412766400444,12.324279900899942,0.018840622,0.01884544,6181.366710662842,883.4933550431882,Türkü
Zevzek-Aşık Mahzuni Şerif,89.10290948275862,0.27520573,0.30822593,0.112054706,0.046392962,3.2386794,24.358809,0.10870399475097656,0.06276535350840015,2745.4909066110604,759.0038830421248,2764.052873707612,293.3534169657846,24.48147858958301,11.44187636823712,0.019940024,0.02742531,5986.163177490234,1250.8184347855245,Türkü
Mamudo Kurban-Aşık Mahzuni Şerif,184.5703125,0.30520165,0.29777765,0.122469924,0.040318884,3.4987102,18.18192,0.11447372436523437,0.04986179989474796,2259.487651276533,565.8237031769085,2256.351562080623,348.12653979540966,24.84121449944481,13.168647566748264,0.008720628,0.009340007,4678.1304359436035,1136.5467870025943,Türkü
Delimiyim Ben-Aşık Mahzuni Şerif,95.703125,0.2608989,0.29754338,0.17507441,0.05621064,7.581946,46.27747,0.08388175964355468,0.030716546415614016,1968.835168575919,445.27535177027124,2182.829288892626,269.41100941313664,23.589777422090002,13.203844305815831,0.008312399,0.012956008,4101.419105529785,978.7956007097982,Türkü
